sr,activity_id,sr_problem_description,component_area,final_service_action_code,service_request_number,action_code,activity_type,activity_type_std,asset_install_date,cause,component_subsystem,component_sub_area,corrective_repair_flag,installed_country,modality,modality_grouping,current_modality,problem.1,problem_code,problem_duplicated,problem_found,psi_code,resolution_code_action_taken,service_request_status,service_request_type,service_request_type_std,date,time1,sr_close_date,sr_error_description,sr_error_flag,date,time2,sr_open_date,system_id
2999,a1K8b00000QVICBEA5,System no reboot for more than 8 days,,,7510034,,Remote Service,Remote Service,MAR-25-2011,"- Rule ID: CTx00311
- Rule Description: System no reboot for more than 8 days
- Equipo con 7 dias (+17 horas) sin reinicio",Detector,,Y,Mexico HQ,CT,,,System no reboot for more than 8 days,,,#NAME?,CSPE23,"- Verificacion de ultimos reinicios:

Sat Aug 13 20:56:28 2022
Wed Aug 17 01:25:08 2022
Sat Aug 20 12:20:07 2022
Wed Aug 24 20:58:19 2022
Wed Aug 24 21:10:39 2022

- Equipo con 7 dias (+17 horas) sin reinicio
- Con mensaje de consola para los operadores, se solicita el reinicio del equipo.
- Reinicio exitoso del equipo: Thu Sep  1 15:03:01 2022",Closed,Corrective Repair,Corrective Repair,19-08-2018,04:31,19-08-2018 04:31,,VALID,19-08-2018,18:56,19-08-2018 18:56,2920879BSE16
3000,a1K8b00000QUHDsEAP,"Equipamento apresentando erro na reconstruçao e pede para desligar e nao libera exame.
 Image:NONE-NONE-NONE",,,7352867,,Field Service,Field Service,JUN-21-2011,"Hd no disk array com falha

RECON GPU falha ao inicializar

Host PC com defeito",Magnet,,Y,Brazil,MRI,,,"Equipamento apresentando erro na reconstruçao e pede para desligar e nao libera exame.
 Image:NONE-NONE-NONE",,,Falha no scan array,CSPG52,"Feito diagnóstico e constatado que o software não está inicializando devido a falha em um dos HDs do disk Array;;Foi solicitado um HD para troca;;04/08 - feito a troca do HD do disk array e feito LFC;;08/08 feito a troca da RECON GPU, testes com phantom e paciente OK;;Pelo período da tarde foi  eliminado mau contato na placa mãe e feito novo LFC.;;09/08 - Verificado no log de erro as seguintes falhas :;;- DC Bus out of Range;- Inverter gate command power supply;- rotor not at speed;- Touch sensor;- Slip ring down;- TGP lost communication;- Exposure interlock opened;- Falhas de Recon;- Buffer overrun na transferencia de dados do scan.;- falha intermitente de CAM A e B no colimador.;;Eliminado possibilidade de mau contato nas placas do Z800 no console, reconectado todos os cabos.;;Verificado as alimentações de entrada na PDU e reaperto nos conectores do HVDC e seus res.;;Aferido as conexões no circuito HVDC e de comunicação com a TGP no gantry.;;Constatado que o sensor do tilt está com trilha aberta, solicitado novo sensor.;;Feito limpeza nas trilhas do slip ring, aferido e aspirados as escovas.;;Constatado que o teclado esquerdo do gantry está prendendo botões, foi solicitado um novo teclado para a troca.;;Solicitado placa CCB e Colimador para diagnóstico.;;15/08 - feito a troca do host PCe LFC, feito diversos testes com phantom e não apresentou falha de recon",Closed,Corrective Repair,Corrective Repair,19-08-2018,08:16,19-08-2018 08:16,,VALID,19-08-2018,20:34,19-08-2018 20:34,1364533
3001,a1K8b00000QU3S3EAL,La camara de pocisionamiento no funciona.,,,7344655,,Field Service,Field Service,JUL-12-2021,PROBABLE FALLA INTERMITENTE DEL CABLE.,Host machine,,Y,Mexico HQ,MRI,,,La camara de pocisionamiento no funciona.,,,LA CAMARA DE POSICIONAMIENTO DE PACIENTE NO MUESTRA IMAGEN DE FORMA INTERMITENTE...,CSPL63,SE REMPLAZA EL CABLE QUE CONECTA LA CAMARA CON LA COMPUTADORA DEL OPERADOR.;;NO ES NECESARIO UTILIZAR EL MANUAL DE SERVICIO YA QUE SOLO SE REMPLAZO DICHO CABLE Y SE ENRUTO POR LOS DUCTOS DEL TECHO DE LA SALA.;;NO SE UTILIZA HERRAMIENTA CALIBRABLE....,Closed,Corrective Repair,Corrective Repair,19-08-2018,10:21,19-08-2018 10:21,,VALID,19-08-2018,21:35,19-08-2018 21:35,CBDMG2000081HM
3002,a1K8b00000QU0mjEAD,System no reboot for more than 8 days,,,7336277,,Remote Service,Remote Service,MAY-15-2014,GE Proactive Diagnostics indicou que o sistema não foi realizado o reboot nos últimos 7 dias.,Host machine,,Y,Brazil,MRI,,,System no reboot for more than 8 days,,,GE Proactive Diagnostics indicou que o sistema não foi realizado o reboot nos últimos 7 dias.,CSPI04,"Equipamento reportou intervalo entre reboot chegando a 7 dias.
Realizado a conexão no equipamento via insite e verificado que o equipamento foi reiniciado há: 04 horas atrás.
Enviado mail ao Cliente Sr Diogo Froes (31) 98725-1333 diogo.prates@materdei.com.br explicando a necessidade de reiniciar o software Diariamente para otimização do mesmo. O fato do equipamento ficar ligado por vários dias sem ser reinicializado pode causar lentidão no software, falhas no processo de reconstrução, corrompimento de software dentre outros problemas.
Cliente irá alertar os demais Operadores desta necessidade.",Closed,Corrective Repair,Corrective Repair,20-08-2018,11:53,20-08-2018 11:53,,VALID,20-08-2018,03:25,20-08-2018 03:25,CT436557CN3
3003,a1K8b00000QVNCTEA5,System no reboot for more than 8 days,,,7517640,,Remote Service,Remote Service,NOV-09-2007,"- Rule ID: CTx00311
- Rule Description: System no reboot for more than 8 days
- Equipo con 8 dias (+23 horas) sin reinicio",Magnet,,Y,Colombia,MRI,,,System no reboot for more than 8 days,,,#NAME?,CUPG08,"- Verificacion de ultimos reinicios:

Mon Jul 25 03:56:26 2022
Fri Jul 29 05:12:19 2022
Mon Aug  1 05:49:34 2022
Thu Aug  4 06:20:54 2022
Fri Aug  5 07:28:31 2022

- Equipo con 8 dias (+23 horas) sin reinicio
- Con mensaje de consola para los operadores, se solicita el reinicio del equipo.
- Reinicio exitoso del equipo: Fri Sep  2 08:49:52 2022",Closed,Corrective Repair,Corrective Repair,20-08-2018,05:25,20-08-2018 05:25,,VALID,20-08-2018,04:50,20-08-2018 04:50,2694076VCT
3004,a1K8b00000QUoWHEA1,Premium // Equipamento apresentando um barulho forte na mesa interferindo na imagem do exame.,,,7463767,,Field Service,Field Service,AUG-15-2017,Cabo de aço danificado,Tube,,Y,Brazil,CT,,,Premium // Equipamento apresentando um barulho forte na mesa interferindo na imagem do exame.,,,Problema de movimento da mesa,CSEC11,Problema no movimento da mesa in/out;;Cabo de aço danificado ;Realizado a troca do cabo de aço ;Após troca o problema foi resolvido ;Não causou nenhum impacto no paciente ;Equipamento liberado para uso,Closed,Corrective Repair,Corrective Repair,20-08-2018,16:56,20-08-2018 16:56,,VALID,20-08-2018,05:08,20-08-2018 05:08,CT20157BG4
3005,a1K8b00000QUmg5EAD,Premium//leitor de DVD está falhando. apresenta mensagem de erro.,,,7451916,,Field Service,Field Service,MAY-17-2010,"Potencial falha estava diretamente relacionada com a necessidade de reconexão da placa conversora SCSI x IDE, bem como do cabo flat de comunicação.",Tube,,Y,Brazil,CT,,,Premium//leitor de DVD está falhando. apresenta mensagem de erro.,,,"Cliente nos reportou que não está conseguindo fazer as gravações de exames em DVD, através da SCSI Tower. Ao tentar fazer a gravação de DVD, o sistema apresenta erro na unidade de DVD.",CGS030,"Durante análise, ao executar o comando “lsscsi” no shell,, foi observado que o dispositivo “cd/dvd MATSHITA DVD-RAM SW-9576S AYOJ” não estava com o seu recurso mapeado em /dev/scd2. Embora tenha sido realizado o procedimento de revalidação dos drivers através do reconfig / accept, o mesmo não estava mapeando o recurso.;;Foi feito a abertura da SCSI Tower para desmontagem e reconexão da placa conversora de SCSI para IDE, bem como do cabo flat de comunicação. Após a execução deste procedimento de reconexão da placa e cabo, bem como a reinicialização do sistema do console, o gravador de dvd voltou a ser mapeado no recurso /dev/scd2. Com isso, o sistema passou a permitir a gravação de exames em DVD.",Closed,Corrective Repair,Corrective Repair,20-08-2018,12:17,20-08-2018 12:17,,VALID,20-08-2018,05:10,20-08-2018 05:10,1316720-1
3006,a1K8b00000QUODfEAP,El movimiento de la mesa hacia afuera no lo da.,,,7389478,,Field Service,Field Service,SEP-28-2009,"Limit swtich dañado, tarjetas convertidoras dañadas",Host machine,,Y,Mexico HQ,MRI,CT,CT,El movimiento de la mesa hacia afuera no lo da.,,,La mesa no avanza hacia adentro,CSPE26,"Se detecta que el limit switch del extremo interior de la mesa se encuentra dañado. Se reemplaza dicho limit switch según el manual 5193755-800. Al corregir el problema original, se corre Phantom y se detecta problema con el detector. Se reemplazan cuatro tarjetas convertidoras y los cables de interconexión. Se realizan pruebas de funcionamiento. El equipo quedo funcionando correctamente, operativamente apto.",Fixed,Corrective Repair,Corrective Repair,20-08-2018,04:03,20-08-2018 04:03,,VALID,20-08-2018,06:13,20-08-2018 06:13,664BRG2820300
3007,a1K8b00000QUoiREAT,Performance//Maquina esta travando no aquecimento e na calibração,,,7463933,,Remote Service,Remote Service,JUN-14-2017,Necessária análise do FE no local.,Tube,,Y,Brazil,CT,,,Performance//Maquina esta travando no aquecimento e na calibração,,,Cliente relata delay no sistema durante a calibração do Tubo da raio-X.,CSPK09,Equipamento sem acesso remoto. FE Cassio ciente do caso.,Closed,Corrective Repair,Corrective Repair,20-08-2018,13:35,20-08-2018 13:35,,VALID,20-08-2018,06:48,20-08-2018 06:48,CT468759HM6
3008,a1K8b00000QUmReEAL,Suporte de acrílico para exames de região de membros inferiores danificado.,,,7461221,,Remote Service,Remote Service,APR-08-2011,SUPORTE NÃO PERTENCE A GE,Tube,,Y,Brazil,CT,,,Suporte de acrílico para exames de região de membros inferiores danificado.,,,Suporte de acrílico para exames de região de membros inferiores danificado.,CSPG35,"REALIZADO CONTATO COM TIAGO O QUAL ENVIOU FOTO DO ITEM. ENVIADO PARA EQUIPE DE APPLICAÇÃO DE CT O QUAL INFORMOU QUE O ´TEM NÃO FAZ PARTE DO EQUIPAMENTO.

CHAMADO SENDO ENCERRADO. ENVIADO CATÁLOGO PARA O EMAIL INFORMADO CASO NECESSITEM DE CONSULTAR ORÇAMENTO DE ALGUM Í",Closed,Corrective Repair,Corrective Repair,20-08-2018,10:31,20-08-2018 10:31,,VALID,20-08-2018,06:54,20-08-2018 06:54,CT419686CN1
3009,a1K8b00000QVHiQEAX,System no reboot for more than 8 days,,,7509566,,Remote Service,Remote Service,MAR-29-2012,"- Rule ID: CTx00311
- Rule Description: System no reboot for more than 8 days",Tube,,Y,Mexico HQ,CT,,,System no reboot for more than 8 days,,,#NAME?,CSPG24,"- Verificacion de ultimos reinicios:

Mon Aug 15 22:01:43 2022
Mon Aug 22 09:34:00 2022
Tue Aug 23 20:44:09 2022
Wed Aug 24 06:10:55 2022

- Equipo con 8 dias sin reinicio
- Con mensaje de consola para los operadores, se solicita el reinicio del equipo.
- Reinicio exitoso del equipo: Thu Sep  1 06:55:27 2022",Closed,Corrective Repair,Corrective Repair,20-08-2018,15:13,20-08-2018 15:13,,VALID,20-08-2018,07:11,20-08-2018 07:11,CT426766CN2
3010,a1K8b00000QU3UvEAL,Ruido ao puxar a mesa,,,7345040,,Remote Service,Remote Service,AUG-10-2018,Ruído no cradle será investigado,Tube,,Y,Brazil,CT,,,Ruido ao puxar a mesa,,,Ruído no cradle,CSPL39,"Realizado conexão remota no equipamento, via insite, para efetuar captura do log de erros e executar ferramentas de diagnóstico. Verificado histórico do sistema para problemas recorrentes.
As informações encontradas foram repassadas ao engenheiro, através do Game plan,  que fará o atendimento presencial.",Closed,Corrective Repair,Corrective Repair,20-08-2018,19:24,20-08-2018 19:24,,VALID,20-08-2018,07:12,20-08-2018 07:12,CJRBS1800012CN
3011,a1K8b00000QTqWCEA1,"falla de mause HP 
 Image:-----------",,,7324942,,Field Service,Field Service,JUL-30-2014,Sensor y mouse,Host machine,,Y,Colombia,MRI,MR,MR,"falla de mause HP 
 Image:-----------",,,Mouse dañado y sensor mesa dañado,CSPI32,Se cambio mouse. Y se realizo ajuste sensor,Closed,Corrective Repair,Corrective Repair,20-08-2018,20:42,20-08-2018 20:42,,VALID,20-08-2018,08:21,20-08-2018 08:21,CT57271YC9
3012,a1K8b00000QUjWJEA1,"Hallazgo de PM, se patina la mesa.",,,7458137,,Field Service,Field Service,MAR-31-2007,Abnormal operation mode.,Tube,,Y,Mexico HQ,CT,CT,CTV,"Hallazgo de PM, se patina la mesa.",,,Table moved unexpectedly.,CUPBA6,Confirmed part ___ failure.,Closed,Corrective Repair,Corrective Repair,20-08-2018,13:19,20-08-2018 13:19,,VALID,20-08-2018,10:57,20-08-2018 10:57,7444ELITE
3013,a1K8b00000QVI3xEAH,VIP//Warranty//chamado corretivo aberto a pedido de Gustavo Mendonça para solicitação de peça//erro de rotor.,,,7509908,,Remote Service,Remote Service,MAR-04-2022,Erro de rotor/raio-x.,Detector,,Y,Brazil,CT,,,VIP//Warranty//chamado corretivo aberto a pedido de Gustavo Mendonça para solicitação de peça//erro de rotor.,,,Chamado corretivo aberto a pedido de Gustavo Mendonça para solicitação de peça//erro de rotor.,CSPL63,01/Set - Realizada conferencia com o cliente FE Gustavo já está ciente e está no site. Equipamento abortando o raio-x. Realizado acesso remoto com coleta de dados e analise de erros e de histórico de chamados.,Closed,Corrective Repair,Corrective Repair,20-08-2018,13:18,20-08-2018 13:18,,VALID,20-08-2018,13:58,20-08-2018 13:58,TAIXX2100076CN
3014,a1K8b00000QVVa3EAH,Aplicacion bloqueada/ colgada,,,7523336,,Field Service,Field Service,OCT-13-2016,FALLA DEL TUBO DE RX,Magnet,,Y,Colombia,MRI,,,Aplicacion bloqueada/ colgada,,,SE PROGRAMÓ LA INSTALACIÓN DE UN NUEVO TUBO DE RX.,CSEC09,"SE REALIZO LA INSTALACIÓN DEL NUEVO TUBO DE RX:

MONTAJE, REINICIALIZACION DEL GENERADOR, AJUSTE DE CORRIENTES Y KILOVOLTAJES.

ALINEAMIENTO DEL TUBO: PLANO DE ROTACIÓN, BOW, ISOCENTRO.

FILAMENT CALIBRATION.

HOT ISO ALIGNMENT.

AJUSTES DEL COLIMADOR.

AJUSTES DE CALIDAD DE IMAGEN.

AJUSTE DEL NÚMERO CT.",Fixed,Corrective Repair,Corrective Repair,20-08-2018,11:54,20-08-2018 11:54,,VALID,20-08-2018,14:15,20-08-2018 14:15,CT5744CO
3015,a1K8b00000QVHtiEAH,"LA RESONANCIA 3 T PIONEER ESTA SIN FUNCIONAR NIVE DE HELIO 26.Y PRESION DEL MAGNETO A 5.260  LA RM 1 5 ESTA SIN FUNCIONAR SIGNA EXITE 
 Image:NONE-NONE-NONE",,,7509742,,Remote Service,Remote Service,MAR-14-2012,No hay falla en el equipo,Magnet,,Y,Mexico HQ,MRI,,,"LA RESONANCIA 3 T PIONEER ESTA SIN FUNCIONAR NIVE DE HELIO 26.Y PRESION DEL MAGNETO A 5.260  LA RM 1 5 ESTA SIN FUNCIONAR SIGNA EXITE 
 Image:NONE-NONE-NONE",,,LA RESONANCIA 3 T PIONEER ESTA SIN FUNCIONAR NIVE DE HELIO 26.Y PRESION DEL MAGNETO A 5.260 LA RM 1 5 ESTA SIN FUNCIONAR SIGNA EXITE,CSPH04,"OLC atiende caso y se contacta cliente Karely y comenta que los TR tienen pendiente por el equipo de MR de 3 T y el equipo de 1.5T no tiene contrato sin embargo se estan atendiendo esas fallas en el caso 07467030.
Este equipo de CT se encuentra trabajando sin problema alguno.
Se cierra caso sin acciones pendientes por realizar.",Closed,Corrective Repair,Corrective Repair,20-08-2018,18:11,20-08-2018 18:11,,VALID,20-08-2018,18:39,20-08-2018 18:39,CT425757CN2
3016,a1K8b00000QUGMlEAP,Vision// Scan interrompido,,,7354871,,Field Service,Field Service,DEC-20-2014,Tube aging,Detector,,Y,Brazil,CT,TUB,TUB,Vision// Scan interrompido,,,Tube Open filament,CSPG88,"Realizado diagnóstico no sistema de alta tensão.;Verificado que o filamento fino está aberto, impossibilitando a emissão de raio-x.;Equipamento inoperante.;Necessário troca do tubo de raio-x.;Realizada troca do tubo de raio-x de acordo com manual de serviços do equipamento. Não foi possivel realizar calibrações detalhadas, pois o equipamento tem falha em alguns módulos do detector já conhecidos (desde a manutenção preventiva), sugerido ao cliente abrir um chamado para correções e calibrações. Problema não impede o funcionamento do equipamento, porém pode aparecer artefatos nas imagens.
Realizada calibração rápida.
Realizado teste de qualidade de imagnes, falhou em apenas uma imagem, provavelmente pelo mesmo motivo citado acima, módulos do detector com defeito.
Realizado scan teste.
Equipamento funcionando normalmente e liberado para o uso.",Closed,Corrective Repair,Corrective Repair,20-08-2018,05:44,20-08-2018 05:44,,VALID,20-08-2018,19:55,20-08-2018 19:55,CT439130CN6
3017,a1K8b00000QUmA1EAL,System no reboot for more than 8 days,,,7460941,,Remote Service,Remote Service,OCT-11-2018,Equipamento ligado por varios dias sem reinicialização de software.,Magnet,,Y,Brazil,MRI,,,System no reboot for more than 8 days,,,PDS: Chamado proativo - Falta de reinicialização do sistema. Equipamento ligado por mais de 8 dias.,CSPJ03,"Verificado histórico do sistema para problemas recorrentes. Conectado via insite. Analisado a configuração do sistema e logs de erros. Equipamento ligado a mais de oito dias.  Tentativas de contato com o cliente nos números cadastrados sem sucesso. Esta ordem de serviço será enviada por e-mail como forma de orientação. A recomendação é de realizar a reinicialização do equipamento ao menos uma vez a cada 24 horas. O fato do equipamento ficar ligado por vários dias sem ser reinicializado pode causar lentidão no software, falhas no processo de reconstrução, corrompimento de software dentre outros problemas.",Closed,Corrective Repair,Corrective Repair,20-08-2018,16:00,20-08-2018 16:00,,VALID,20-08-2018,19:59,20-08-2018 19:59,CTCBARG1800026
3018,a1K8b00000QVXJvEAP,"Equipo truena al hacer los movimientos de la mesa. No permite trabajar, solcitamos el apoyo a la brevedad",,,7528011,,Field Service,Field Service,OCT-28-2016,Reajuste de conexiones.,Host machine,,Y,Mexico HQ,MRI,,,"Equipo truena al hacer los movimientos de la mesa. No permite trabajar, solcitamos el apoyo a la brevedad",,,"Sonido en gantry., el r del distribuidor de voltaje del gantry está inestable.",CSPI75,Se revisa equipo de acuerdo a manual de fabricante 5411811-8EN.;Se aprietan interconexiones de cables de alimentación  en PDU y gantry.;Se realizan pruebas satisfactorias.;El equipo queda funcionando correctamente.,Closed,Corrective Repair,Corrective Repair,20-08-2018,09:15,20-08-2018 09:15,,VALID,20-08-2018,21:06,20-08-2018 21:06,CJRAX1600055CN
3019,a1K8b00000QVFxYEAX,El movimiento de la mesa hacia afuera no lo da.,,,7389478,,Remote Service,Remote Service,SEP-28-2009,,Host machine,,Y,Mexico HQ,MRI,,,El movimiento de la mesa hacia afuera no lo da.,,,External gain coefficient error code 260007935,CSPE26,Troubleshooting and remote support to FE and RSE,Fixed,Corrective Repair,Corrective Repair,20-08-2018,21:24,20-08-2018 21:24,,VALID,20-08-2018,21:31,20-08-2018 21:31,664BRG2820300
3020,a1K8b00000QUot5EAD,"Premium// scan interrompido pelo scanner. comunicaçao entre o TGP e GUIF esta desligado.falha nos sensores de colisao do gantry e mesa. led de colisao esta piscando constantemente no painel.  contato: 17 3321 6600 ramal 7339
 Image:33645-NONE-NONE",,,7463871,,Field Service,Field Service,MAR-22-2019,SENSOR COLISÃO DO GANTRY,Host machine,,Y,Brazil,MRI,,,"Premium// scan interrompido pelo scanner. comunicaçao entre o TGP e GUIF esta desligado.falha nos sensores de colisao do gantry e mesa. led de colisao esta piscando constantemente no painel.  contato: 17 3321 6600 ramal 7339
 Image:33645-NONE-NONE",,,EQUIPAMENTA APRESENTA MENSAGEM DE COLISÃO DOS SENSORES DA MESA E GANTRY E APOS AS MENSAGENS INTERROMPEU A COMUNICAÇÃO.,CSPL19,REALIZADO DIAGNOSTICO E CONSTATADO UM ACIONAMENTO DO SENSOR DA MESA E TAMBEM DA SENSOR DO GANTRY. REALIZADO A VERIFICAÇÃO DA INTEGRIDADE DOS SENSORES DA MESA QUE APRESENTAM OK E CONSTATADO DEFEITO DO SENSOR DO GANTRY. TROCA DO SENSOR REALIZADO PELO CASE:07460362 QUE FOI ABERTO EM DUPLICIADADE.,Closed,Corrective Repair,Corrective Repair,20-08-2018,20:06,20-08-2018 20:06,,VALID,20-08-2018,21:45,20-08-2018 21:45,CJRBX1800089CN
3021,a1K8b00000QUx1fEAD,Aborta el scan aleatoreamente,,,7473880,,Field Service,Field Service,MAY-01-2016,Falla en tubo de rayos X Performix con mas de 20000 examenes,Host machine,,Y,Argentina,MRI,,,Aborta el scan aleatoreamente,,,El equipo aborta la generación de rayos X,CSPI52,Se realizó diagnóstico de alta tensión confirmando fallas en tubo de rayos X. Es necesario su reemplazo,Closed,Corrective Repair,Corrective Repair,21-08-2018,14:29,21-08-2018 14:29,,VALID,21-08-2018,00:37,21-08-2018 00:37,CT442211CN9
3022,a1K8b00000QUqF8EAL,Fallo de generacion de rx,,,7454897,,Field Service,Field Service,MAR-19-2020,Daño del tubo de RX. ; Defective part (please specify).,Host machine,,Y,Colombia,MRI,,,Fallo de generacion de rx,,,Fallo de generacion de rX.,CSEC11,"Se realizó el montaje del tubo de rayos x, reinicialización del Djinn, ajuste de corrientes y kilovoltajes, alineamiento del Tubo: Plano de rotación, BOW, ISOCENTRO. Centrado del filtro de radiación, ajustes del colimador, ajustes de calidad de imagen, ajuste del número CT. CON LO REALIZADO SE RECUPERA LA FUNCIONALIDAD DEL EQUIPO. ; Diagnosed ___ part as defective.",Closed,Corrective Repair,Corrective Repair,21-08-2018,01:23,21-08-2018 01:23,,VALID,21-08-2018,00:58,21-08-2018 00:58,CT62405BG6
3023,a1K8b00000QUlq6EAD,Falha de reconstrução,,,7457363,,Field Service,Field Service,DEC-30-2009,"VERB com defeito, proteção da janela do colimador com defeito.",Host machine,,Y,Brazil,MRI,,,Falha de reconstrução,,,As imagens não foram reconstruídas.,CSPG30,Substituído computador de reconstrução VERB. Também substituída proteção da janela do colimador.;Realizada reconfiguração do sistema.,Closed,Corrective Repair,Corrective Repair,21-08-2018,12:18,21-08-2018 12:18,,VALID,21-08-2018,02:05,21-08-2018 02:05,1293444
3024,a1K8b00000QUMcDEAX,equipamento não está ligando,,,7373058,,Field Service,Field Service,OCT-08-2015,Tubo de rx,Detector,,Y,Brazil,CT,,,equipamento não está ligando,,,Abortando scan.,CSPE55,"05 Ago - equipamento abortando scan e cheiro forte de óleo. Feito a análise do log de erros e encontrado o erro pro Rio 60-0318. Cliente relatou ouvir um forte barulho no gantry. Ao retirar as tampas para verificar, foi observado um grande vazamento de óleo do tubo. Várias partes do gantry ficaram encharcadas de óleo. O equipamento foi desligado e outro tubo foi solicitado para prosseguir no diagnóstico.;09 Ago - Realizada substituição mecânica do tubo de rx. Foi verificado que o tubo rompeu a janela de vidro e todo óleo vazou pelo colimador. Equipamento falha ao tentar disparar rx devido a falha no colimador. Colimador não encontra posição ""home"". Realizada verificação dos motores CAM e testes funcionais do colimador. Foi verificado que o mesmo perde a referencia de leitura dos encoders. Novo colimador foi solicitado.;11 Ago - Realizada substituição do colimador e testes funcionais passaram. Realizada substituição do tubo de rx e alinhamento mecânico.;Realizada calibração do equipamento e testes de imagem. Equipamento lberado.",Closed,Corrective Repair,Corrective Repair,21-08-2018,10:41,21-08-2018 10:41,,VALID,21-08-2018,02:05,21-08-2018 02:05,CT410561HM5
3025,a1K8b00000QVSaVEAX,"Performance// Aplicativo ""reformat"" não está funcionando, não conseguimos reconstruir as imagens.",,,7523206,,Field Service,Field Service,OCT-02-2015,software corrompido.,Host machine,,Y,Brazil,MRI,,,"Performance// Aplicativo ""reformat"" não está funcionando, não conseguimos reconstruir as imagens.",,,Reformat não estava funcionando,CSPE55,"Foi realizado um LFC no equipamento de acordo com o manual de serviço, reformat voltou a funcionar.;;Foi realizado o checkout da conectividade. Foi constatado instabilidade da rede do cliente.;;Realizado aquecimento de tubo, calibração diaria e testes de imagem.;;Realizado teste de impressão e envio para servidor, ok.;;Acompanhado exame com paciente.;;Equipamento liberado para uso do cliente.",Fixed,Corrective Repair,Corrective Repair,21-08-2018,04:17,21-08-2018 04:17,,VALID,21-08-2018,02:38,21-08-2018 02:38,CT409908HM1
3026,a1K8b00000QU8OvEAL,"Equipamento apresentando artefato nas imagens, ao ponto de não poder enviar ao PACS, não está permitindo realizar a calibração diária, não está liberando o scout",,,7346803,,Service Task,Field Service,DEC-18-2015,,Detector,,Y,Brazil,CT,,,"Equipamento apresentando artefato nas imagens, ao ponto de não poder enviar ao PACS, não está permitindo realizar a calibração diária, não está liberando o scout",,,,CSPG52,Ajuda ao FE Ricardo Cruz para diagnóstico e troca do módulo HVTANK.,Closed,Corrective Repair,Corrective Repair,21-08-2018,09:20,21-08-2018 09:20,,VALID,21-08-2018,02:41,21-08-2018 02:41,CT441652CN5
3027,a1K8b00000QUelpEAD,"Mesa de exames não está subindo, como se estivesse com o sensor de colisão acionado.",,,7452622,,Field Service,Field Service,OCT-02-2015,Sensor gantry traseiro,Detector,,Y,Brazil,CT,,,"Mesa de exames não está subindo, como se estivesse com o sensor de colisão acionado.",,,Mesa não sobe,CSPE55,Realizada a troca do sensor de paciente traseira. Equipamento voltou a funcionar normalmente. Equipamento testado e funcionando perfeitamente e liberado para uso.,Closed,Corrective Repair,Corrective Repair,21-08-2018,14:22,21-08-2018 14:22,,VALID,21-08-2018,03:13,21-08-2018 03:13,CT409908HM1
3028,a1K8b00000QVIBDEA5,VIP//Warranty//chamado corretivo aberto a pedido de Gustavo Mendonça para solicitação de peça//erro de rotor.,,,7509908,,Field Service,Field Service,MAR-04-2022,Hemit,Host machine,,Y,Brazil,MRI,,,VIP//Warranty//chamado corretivo aberto a pedido de Gustavo Mendonça para solicitação de peça//erro de rotor.,,,Equipamento abortando scan. Após diagnóstico foi identificada falha no Hemit Tank no controle do rotor.,CSPL63,Realizada a substituição do Hemit Tank conforme procedimento GE. Calibração do gerador com sucesso.,Closed,Corrective Repair,Corrective Repair,21-08-2018,17:36,21-08-2018 17:36,,VALID,21-08-2018,03:33,21-08-2018 03:33,TAIXX2100076CN
3029,a1K8b00000QVAASEA5,Ajustar horario e data que está desatualizada,,,7500912,,Field Service,Field Service,JUN-14-2010,BIOS Battery,Host machine,,Y,Brazil,MRI,,,Ajustar horario e data que está desatualizada,,,Equipamento com data e hora incorreta.,CSPE28,"Foi verificado que equipamento estava perdendo as configurações de hora e data por conta de estar com a bateria da BIOS com tensão baixa. 
Foi realizado o backup dos dados da BIOS, substituido a bateria e realizado restaruação de dados e ajuste de date e hora. Equipamneto voltou a operar com os parâmetros corretos e sem apresentar defeito.",Closed,Corrective Repair,Corrective Repair,21-08-2018,09:54,21-08-2018 09:54,,VALID,21-08-2018,03:42,21-08-2018 03:42,2858686
3030,a1K8b00000QV1h4EAD,"Máquina não liga após queda de energia, ruído alto a cheiro de queimado.",,,7479051,,Field Service,Field Service,OCT-09-2015,Falha nos capacitores do power pan.,Detector,,Y,Brazil,CT,CT,CT,"Máquina não liga após queda de energia, ruído alto a cheiro de queimado.",,,E equipamento apresentou barulho alto no CT e parou de funcionar.,CSRV01,"Foi verificado que a falha do equipamento se deu devido há um problema no power pan. Foi pedido importação do kit de upgrade para a versão Rayden do power pan pois a versão original não tinha em estoque. Chegado as peças kit de cabos, power pan e inversor, foi realizado a troca das mesmas e o equipamento subiu sem falhas. Foi realizado teste de qualidade de imagem ok.",Closed,Corrective Repair,Corrective Repair,21-08-2018,20:05,21-08-2018 20:05,,VALID,21-08-2018,03:49,21-08-2018 03:49,CT443038CN5
